id,text,username,longtitude,latitude,created_at_local,source_clean
7.56961E+17,Strolling through and there's Jared Leto #suicidesquad @ San Diego Convention Center https://t.co/li7LC5aiRi,Michelle Mackay,-117.161361,32.70686186,15:22.8,Instagram
7.56964E+17,First day of #comicon with #MargotRobbie for #suicidesquad #patidubroff @patidubroff… https://t.co/MdYVVxQyzG,Renato Campora,-117.19116,32.64805,26:18.1,Instagram
7.56967E+17,Guys....the cosplays I made got into the signing area at DC and we met the whole cast of suicide… https://t.co/gcm7NM3XEX,Emilie BadaBOOM,-117.161361,32.70686186,39:40.2,Instagram
7.5697E+17,Thank you so much @alreynolds1122 #hardrocksandiego for the #suicidesquad #samsung hospitality… https://t.co/gOpxIMxJn3,Victoria Soares,-117.15964,32.70781,51:49.4,Instagram
7.56972E+17,leviathanesper's sneaky Upskirt at the @suicidegirls booth at #SDCC today! Come by booth #1730… https://t.co/bJyPvPXlim,Milloux,-117.1615816,32.70707812,00:01.8,Instagram
7.56977E+17,#margotrobbie #scotteastwood leaving #suicidesquad signing at #dcentertainment booth #sdcc… https://t.co/fQTJE4onvy,Michael Morris,-117.161361,32.70686186,17:27.9,Instagram
7.56981E+17,Getting ready for #suicidesquad at #conancon at #sdcc!!!!!! @… https://t.co/u9ac1J7gyD,Marisa Leigh Paulsen,-117.162,32.7153,33:48.1,Instagram
7.56982E+17,#suicidesquad cast leaving #dcentertainment booth #wbsdcc #dcsdcc #sdcc #jointhesquad @ San… https://t.co/XMgEVTy81V,Michael Morris,-117.161361,32.70686186,38:36.7,Instagram
7.56983E+17,"Not very secret: I absolutely adore Will Smith! Here for #suicidesquad @ Comicon, San Diego… https://t.co/0htin7K2Qa",Noelle,-117.1615816,32.70707812,44:11.0,Instagram
7.56984E+17,"Will Smith, Margot Robbie, and Jared Leto here for #suicidesquad #sdcc2016 @ Comicon, San Diego… https://t.co/9X4rgt4TnP",Noelle,-117.1615816,32.70707812,48:03.5,Instagram
7.56984E+17,It's the #suicidesquad cast doing a signing at the #DCComics booth.… https://t.co/3o15P08LVc,James Lee,-117.161361,32.70686186,48:14.0,Instagram
7.56988E+17,So... We are waiting for #conan to start! #suicidesquad cast is coming! OMG! 💓 💖 💓 @ConanOBrien… https://t.co/iKrvuNKvv0,Mako Fufu SDCC #5628,-117.162,32.7153,01:42.6,Instagram
7.56989E+17,"Harley Quinn- or Harley Him? #sdcc2016 #suicidesquad @ Comicon, San Diego Convention Center https://t.co/sLhKElNm78",Heath Hyche,-117.1615816,32.70707812,06:03.5,Instagram
7.56989E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @ Brick By Brick https://t.co/3dlJlB2Iqq,Crüejünkie,-117.2010412,32.76865114,06:32.6,Instagram
7.56989E+17,"Margot selfie
#suicidesquad #galaxylife #sdcc @ San Diego Convention Center https://t.co/vXynDuBZHh",John Burr,-117.161361,32.70686186,07:21.3,Instagram
7.56989E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @ Brick By Brick https://t.co/rmo4pHMqwC,Crüejünkie,-117.2010412,32.76865114,07:27.0,Instagram
7.56989E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @suicidegirls @ Brick… https://t.co/BiqnLtWsk2,Crüejünkie,-117.2010412,32.76865114,08:48.6,Instagram
7.5699E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @suicidegirls @ Brick… https://t.co/HY5k2iX5ba,Crüejünkie,-117.2010412,32.76865114,09:16.9,Instagram
